File,ML algorithm,accuracy,Precision,Recall,F1-score,Time
SSH-Patator,Random Forest,0.9869964303926568,0.9804176261404378,0.989252772961756,0.9846802260858016,0.04323005676269531
SSH-Patator,ID3,0.9992350841407445,0.9989701937222614,0.9992113474440453,0.9990906642378555,0.013983011245727539
SSH-Patator,AdaBoost,0.9977052524222335,0.9962121212121212,0.9983594604447685,0.9972772416416802,0.2918989658355713
SSH-Patator,MLP,0.842937276899541,0.8977924140807194,0.7421469469514042,0.7752807651023441,0.7379770278930664
SSH-Patator,Nearest Neighbors,0.9943906170321265,0.9917231241113653,0.9950225680481459,0.9933523293196453,0.0956728458404541
DDoS,Naive Bayes,0.710501910040409,0.7470285185042257,0.7982037587156952,0.7042750385335579,0.08650493621826172
DDoS,QDA,0.9598229072360721,0.9377914933670128,0.9719706728442001,0.9524188541657533,0.10197091102600098
DDoS,Random Forest,0.9991940291916003,0.9990004536074372,0.9990122611132561,0.9990063571403676,0.38738584518432617
DDoS,ID3,0.9994700465917371,0.9994648194593976,0.999228323481234,0.9993464833805188,0.1896367073059082
DDoS,AdaBoost,0.9989400931834743,0.9985288453908516,0.998858916533305,0.9986937087171258,2.79457688331604
DDoS,MLP,0.9995583721597809,0.9995737647013536,0.999337217137752,0.999455402817099,10.87645697593689
DDoS,Nearest Neighbors,0.9995142093757591,0.9996378518255805,0.9991644557298351,0.999400801169241,5.443899869918823
DDoS,Naive Bayes,0.7106785611764965,0.7473258704356451,0.7981659960787284,0.7045306993706295,0.06691098213195801
DDoS,QDA,0.9592929538278093,0.9371860798886567,0.9715567924971658,0.9518606248742053,0.06618404388427734
DDoS,Random Forest,0.9994590058957317,0.99946922908558,0.9991982059946157,0.9993336013862422,0.38515281677246094
DDoS,ID3,0.9994369245037207,0.9994302266055439,0.999182802658253,0.9993064178100242,0.14925599098205566
DDoS,AdaBoost,0.9989952966635016,0.9986280645000891,0.9988983143901388,0.9987630735472948,2.830758810043335
DDoS,MLP,0.9994479651997262,0.9995915298581624,0.9990490335716014,0.9993198167691782,8.906872749328613
DDoS,Nearest Neighbors,0.9995804535517919,0.9995893672287969,0.9993772381811658,0.9994832315607249,5.339632034301758
